B;C;D;E;F
17/12/2015;DG#07;0;0;#DIV/0!
17/12/2015;DG#08;0;0;#DIV/0!
17/12/2015;DG#09;0;0;#DIV/0!
17/12/2015;DG#10;0;0;#DIV/0!
17/12/2015;DG#11;0;0;#DIV/0!
17/12/2015;DG#12;0;0;#DIV/0!
17/12/2015;DG#13;0;0;#DIV/0!
17/12/2015;DG#14;0;0;#DIV/0!
17/12/2015;DG#15;0;0;#DIV/0!
17/12/2015;DG#16;0;0;#DIV/0!
17/12/2015;DG#17;0;0;#DIV/0!
17/12/2015;DG#18;203688;43320;212,68
17/12/2015;DG#19;209584;43698;208,5
17/12/2015;DG#20;0;0;#DIV/0!
17/12/2015;DG#21;192688;40296;209,13
17/12/2015;DG#22;0;0;#DIV/0!
17/12/2015;DG#23;0;36;#DIV/0!
18/12/2015;DG#01;0;2;#DIV/0!
18/12/2015;DG#02;0;0;#DIV/0!
18/12/2015;DG#03;0;4;#DIV/0!
18/12/2015;DG#04;0;0;#DIV/0!
18/12/2015;DG#05;0;0;#DIV/0!
18/12/2015;DG#06;0;0;#DIV/0!
18/12/2015;DG#07;0;0;#DIV/0!
18/12/2015;DG#08;0;0;#DIV/0!
18/12/2015;DG#09;0;2;#DIV/0!
18/12/2015;DG#10;0;0;#DIV/0!
18/12/2015;DG#11;0;0;#DIV/0!
18/12/2015;DG#12;0;0;#DIV/0!
18/12/2015;DG#13;0;0;#DIV/0!
18/12/2015;DG#14;0;0;#DIV/0!
18/12/2015;DG#15;0;0;#DIV/0!
18/12/2015;DG#16;0;0;#DIV/0!
18/12/2015;DG#17;0;2;#DIV/0!
18/12/2015;DG#18;203688;43288;212,52
18/12/2015;DG#19;135712;28256;208,21
18/12/2015;DG#20;70376;15352;218,14
18/12/2015;DG#21;192696;40248;208,87
18/12/2015;DG#22;0;2;#DIV/0!
18/12/2015;DG#23;0;2;#DIV/0!
19/12/2015;DG#01;0;0;#DIV/0!
19/12/2015;DG#02;0;0;#DIV/0!
19/12/2015;DG#03;0;4;#DIV/0!
19/12/2015;DG#04;0;0;#DIV/0!
19/12/2015;DG#05;0;0;#DIV/0!
19/12/2015;DG#06;0;2;#DIV/0!
19/12/2015;DG#07;0;0;#DIV/0!
19/12/2015;DG#08;0;0;#DIV/0!
19/12/2015;DG#09;0;0;#DIV/0!
19/12/2015;DG#10;0;0;#DIV/0!
19/12/2015;DG#11;0;0;#DIV/0!
19/12/2015;DG#12;0;2;#DIV/0!
19/12/2015;DG#13;0;0;#DIV/0!
19/12/2015;DG#14;0;0;#DIV/0!
19/12/2015;DG#15;0;0;#DIV/0!
19/12/2015;DG#16;0;0;#DIV/0!
19/12/2015;DG#17;0;2;#DIV/0!
19/12/2015;DG#18;194848;41550;213,24
19/12/2015;DG#19;0;52;#DIV/0!
19/12/2015;DG#20;198816;41840;210,45
19/12/2015;DG#21;193544;40538;209,45
19/12/2015;DG#22;0;42;#DIV/0!
19/12/2015;DG#23;0;82;#DIV/0!
20/12/2015;DG#01;0;0;#DIV/0!
20/12/2015;DG#02;0;0;#DIV/0!
20/12/2015;DG#03;0;32;#DIV/0!
20/12/2015;DG#04;0;0;#DIV/0!
20/12/2015;DG#05;0;0;#DIV/0!
20/12/2015;DG#06;0;4;#DIV/0!
20/12/2015;DG#07;0;0;#DIV/0!
20/12/2015;DG#08;0;0;#DIV/0!
20/12/2015;DG#09;0;0;#DIV/0!
20/12/2015;DG#10;0;0;#DIV/0!
20/12/2015;DG#11;0;2;#DIV/0!
20/12/2015;DG#12;0;2;#DIV/0!
20/12/2015;DG#13;0;0;#DIV/0!
20/12/2015;DG#14;0;0;#DIV/0!
20/12/2015;DG#15;0;0;#DIV/0!
20/12/2015;DG#16;0;0;#DIV/0!
20/12/2015;DG#17;0;18;#DIV/0!
20/12/2015;DG#18;57824;12308;212,85
20/12/2015;DG#19;0;0;#DIV/0!
20/12/2015;DG#20;16496;3568;216,29
20/12/2015;DG#21;56544;11858;209,71
20/12/2015;DG#22;35664;7462;209,23
20/12/2015;DG#23;0;4;#DIV/0!
21/12/2015;DG#01;0;0;#DIV/0!
21/12/2015;DG#02;0;0;#DIV/0!
21/12/2015;DG#03;0;4;#DIV/0!
21/12/2015;DG#04;0;0;#DIV/0!
